,Accuracy,Precision,Recall,F1-Score,ROC-AUC,y_pred,y_prob
Logistic Regression,0.6495454545454545,0.6992647058823529,0.7242955064737243,0.7115600448933782,0.7384639426565152,[1 1 0 ... 1 1 1],[0.88014176 0.68361344 0.45589298 ... 0.59913593 0.6271753  0.91383288]
Random Forest,0.6636363636363637,0.8222722159730034,0.5567402894135567,0.6639418710263397,0.7404194976778051,[1 0 0 ... 0 1 1],[0.99  0.475 0.43  ... 0.45  0.54  0.99 ]
XGBoost,0.6572727272727272,0.7411561691113029,0.6542269611576542,0.6949838187702265,0.7332532793648803,[1 1 0 ... 1 1 1],[0.85155314 0.51740414 0.47423005 ... 0.504923   0.52045155 0.85155314]
