,Accuracy,Precision,Recall,F1-Score,ROC-AUC,y_pred,y_prob
Logistic Regression,0.6609090909090909,0.7348798674399337,0.6755521706016756,0.703968253968254,0.7391044888896139,[1 1 0 ... 1 1 1],[0.86628934 0.65711918 0.41490817 ... 0.52711573 0.6080325  0.91794291]
Random Forest,0.6754545454545454,0.8864516129032258,0.5232292460015232,0.6580459770114943,0.7407311843837232,[1 1 0 ... 0 0 1],[0.96908333 0.50701984 0.38664286 ... 0.40585119 0.47990476 0.97595238]
XGBoost,0.6668181818181819,0.7777777777777778,0.6184310738766184,0.6890114552397115,0.7356999770742836,[1 1 0 ... 0 1 1],[0.99978656 0.7278643  0.34520054 ... 0.42276695 0.5691448  0.99992526]
