,Accuracy,Precision,Recall,F1-Score,ROC-AUC,y_pred,y_prob
Logistic Regression,0.6668181818181819,0.7761904761904762,0.6207159177456207,0.6898011002962336,0.7384107069106008,[1 1 0 ... 0 1 1],[0.82811366 0.5837065  0.36386133 ... 0.49686515 0.52959676 0.87801205]
Random Forest,0.6627272727272727,0.7977059436913452,0.5826351865955827,0.6734154929577465,0.7436145010737306,[1 0 0 ... 1 1 1],[0.99  0.495 0.49  ... 0.515 0.56  0.99 ]
XGBoost,0.6736363636363636,0.8181818181818182,0.5826351865955827,0.6806049822064056,0.7412339187261889,[1 0 0 ... 0 1 1],[0.9993482  0.3631419  0.3289579  ... 0.44983426 0.5589498  0.99969614]
