iter	Logloss
0	0.6205921173
1	0.5604543304
2	0.53483284
3	0.487106781
4	0.4676259613
5	0.4431148529
6	0.4222223663
7	0.4021287537
8	0.3767204285
9	0.3557011795
10	0.345075531
11	0.3376823425
12	0.3289976501
13	0.3228906631
14	0.3153568649
15	0.3087932014
16	0.2995784378
17	0.2877830887
18	0.2781297112
19	0.2708004379
20	0.2630313492
21	0.2552905464
22	0.249075222
23	0.243752861
24	0.2394942856
25	0.2355035019
26	0.2315932846
27	0.2301633644
28	0.226620903
29	0.2243655014
30	0.2228286362
31	0.2213817596
32	0.2194675446
33	0.2187080002
34	0.2168066788
35	0.2154389954
36	0.2142187881
37	0.2129413986
38	0.211733551
39	0.210766449
40	0.2100095177
41	0.2092233276
42	0.2089097977
43	0.2081575966
44	0.2073168564
45	0.2064600372
46	0.2058935547
47	0.2055622864
48	0.2051923561
49	0.2047221565
50	0.2042510414
51	0.2037072372
52	0.2033074951
53	0.2031039429
54	0.2029813004
55	0.2026140213
56	0.2022803307
57	0.2018959808
58	0.2015140915
59	0.2012030792
60	0.2005640221
61	0.2002175522
62	0.1998895645
63	0.1997507858
64	0.1994624329
65	0.1993022919
66	0.199124527
67	0.1988953972
68	0.1987828255
69	0.1986580658
70	0.1985139084
71	0.1982907486
72	0.1981189919
73	0.197924366
74	0.1977354813
75	0.1974348259
76	0.1972953033
77	0.1972020721
78	0.1969442558
79	0.1968531036
80	0.1965803528
81	0.19647686
82	0.1963598251
83	0.1962703323
84	0.1961281586
85	0.1959682083
86	0.1957315826
87	0.1956136131
88	0.195459404
89	0.195391655
90	0.19524189
91	0.1950459099
92	0.1949226761
93	0.1948231316
94	0.1947019577
95	0.1946208191
96	0.1944873047
97	0.1942746353
98	0.1941195297
99	0.1940362549
100	0.1939363098
101	0.1938233376
102	0.193713665
103	0.1936437607
104	0.1935477448
105	0.1934188461
106	0.1933453178
107	0.193269043
108	0.1931841278
109	0.1931033325
110	0.1929929543
111	0.1928840637
112	0.1927232361
113	0.1926528549
114	0.1925570297
115	0.1924324417
116	0.1923262215
117	0.19223629
118	0.1921231842
119	0.1920339966
120	0.1919536972
121	0.1919078827
122	0.191825676
123	0.1917033577
124	0.1915707207
125	0.1914300919
126	0.1913807678
127	0.1911911011
128	0.1911670685
129	0.1910596085
130	0.1909370422
131	0.1908533478
132	0.1907686234
133	0.1906332016
134	0.1905396652
135	0.1904393196
136	0.1903334427
137	0.1901807404
138	0.1900862122
139	0.1899639511
140	0.1898569107
141	0.1897546387
142	0.1896492004
143	0.189528389
144	0.1894673538
145	0.1893532753
146	0.1892738914
147	0.1891767883
148	0.1890776825
149	0.1889608002
150	0.1889028358
151	0.1888331985
152	0.1887328529
153	0.1886594391
154	0.1885531235
155	0.188462677
156	0.1884251213
157	0.1883792686
158	0.1882463646
159	0.1881620407
160	0.1880924034
161	0.1879754829
162	0.1878952026
163	0.1878682709
164	0.1878300476
165	0.1877730179
166	0.1876931953
167	0.1875996399
168	0.1875448227
169	0.1874537659
170	0.1873456001
171	0.1872488785
172	0.1871959686
173	0.1871521759
174	0.1870895767
175	0.1870361328
176	0.1869319916
177	0.1868953896
178	0.1868051147
179	0.1867460251
180	0.1866939163
181	0.1865507507
182	0.1864691734
183	0.1864035034
184	0.1863350296
185	0.1861765289
186	0.1861297417
187	0.1859926224
188	0.185938282
189	0.1858356285
190	0.1857411194
191	0.1856786346
192	0.1856129456
193	0.1855920792
194	0.1855377197
195	0.1854461288
196	0.1853463745
197	0.185290966
198	0.1852075577
199	0.1851686859
200	0.1851091957
201	0.1850886726
202	0.1850038719
203	0.1849330902
204	0.1848822784
205	0.1848014641
206	0.1846530151
207	0.1845295525
208	0.1844519806
209	0.184347744
210	0.1842901611
211	0.1842250443
212	0.1841633987
213	0.1840898514
214	0.183974762
215	0.1838924217
216	0.1838101768
217	0.1837520218
218	0.1837000084
219	0.1836194038
220	0.1835272598
221	0.1834405136
222	0.1833695602
223	0.1832932281
224	0.1832094193
225	0.1831320953
226	0.1830399895
227	0.1829782867
228	0.1829342842
229	0.1827997208
230	0.1827558136
231	0.1826479721
232	0.182576561
233	0.1824554062
234	0.1823740005
235	0.1822824669
236	0.1822021484
237	0.1821251869
238	0.1820199585
239	0.1819408607
240	0.1818608665
241	0.1817782211
242	0.1816714859
243	0.1816244888
244	0.181560936
245	0.1814573669
246	0.1813468552
247	0.1812426376
248	0.1811165428
249	0.1810355759
250	0.1809592056
251	0.1808662033
252	0.1808184052
253	0.180732193
254	0.1806056976
255	0.1805727386
256	0.1805053902
257	0.1804402924
258	0.1803581429
259	0.1803139877
260	0.1802593803
261	0.1801737213
262	0.1801185989
263	0.1800212097
264	0.1799172974
265	0.1798395348
266	0.1798045731
267	0.1797146225
268	0.1796418762
269	0.1795916748
270	0.1795321655
271	0.1794524956
272	0.1793872261
273	0.1792492485
274	0.1791902161
275	0.179116478
276	0.179046669
277	0.1789663887
278	0.1788625145
279	0.1788145447
280	0.17870224
281	0.1786286926
282	0.1785456467
283	0.1784980202
284	0.178426075
285	0.1782914162
286	0.1782618332
287	0.1781898689
288	0.1781197929
289	0.178055706
290	0.1779424286
291	0.177857933
292	0.1778133011
293	0.1777611923
294	0.1776997757
295	0.1776219177
296	0.1775267029
297	0.1774713898
298	0.1774309921
299	0.1773425865
